date,country,event,currency,previous,estimate,actual,change,impact,changePercentage,unit
2023-03-14 12:30:00,US,Inflation Rate YoY (Feb),USD,6.4,6.0,6.0,-0.4,High,-6.25,%
2023-03-14 12:30:00,US,Core Inflation Rate YoY (Feb),USD,5.6,5.5,5.5,-0.1,High,-1.786,%
2023-03-15 12:30:00,US,Retail Sales MoM (Feb),USD,3.2,-0.3,-0.4,-3.6,High,-112.5,%
2023-03-15 12:30:00,US,Producer Price Index MoM (Feb),USD,0.3,0.3,-0.1,-0.4,High,-133.333,%
2023-03-22 12:30:00,US,Press Conference,USD,,,,,High,0.0,
2023-03-22 18:00:00,US,Fed Interest Rate Decision,USD,4.75,5.0,5.0,0.25,High,5.263,%
2023-03-22 18:30:00,US,Fed Press Conference,USD,,,,,High,0.0,
2023-03-24 12:30:00,US,Durable Goods Orders MoM (Feb),USD,-5.0,0.6,-1.0,4.0,High,80.0,%
2023-03-28 08:00:00,US,CB Consumer Confidence (Mar),USD,103.4,101.0,104.2,0.8,High,0.774,
2023-03-30 06:30:00,US,Gross Domestic Product QoQ (Q4),USD,3.2,2.7,2.6,-0.6,High,-18.75,%
2023-03-31 12:30:00,US,Core PCE Price Index MoM (Feb),USD,0.5,0.4,0.3,-0.2,High,-40.0,%
2023-03-31 12:30:00,US,Personal Spending MoM (Feb),USD,2.0,0.3,0.2,-1.8,High,-90.0,%
2023-03-31 12:30:00,US,Personal Income MoM (Feb),USD,0.6,0.2,0.3,-0.3,High,-50.0,%
2023-04-03 14:00:00,US,ISM Manufacturing PMI (Mar),USD,47.7,47.5,46.3,-1.4,High,-2.935,
2023-04-04 14:00:00,US,JOLTs Job Openings (Feb),USD,10.563,10.4,9.931,-0.632,High,-5.983,M
2023-04-05 12:30:00,US,Balance of Trade (Feb),USD,-68.7,-69.0,-70.5,-1.8,High,-2.62,B
2023-04-05 14:00:00,US,ISM Non-Manufacturing PMI (Mar),USD,55.1,54.5,51.2,-3.9,High,-7.078,
2023-04-07 12:30:00,US,Unemployment Rate (Mar),USD,3.6,3.6,3.5,-0.1,High,-2.778,%
2023-04-07 12:30:00,US,Non Farm Payrolls (Mar),USD,326.0,239.0,236.0,-90.0,High,-27.607,K
2023-04-12 06:30:00,US,Core CPI MoM (Mar),USD,0.5,0.4,0.4,-0.1,High,-20.0,%
2023-04-12 06:30:00,US,CPI YoY (Mar),USD,6.0,5.2,5.0,-1.0,High,-16.667,%
2023-04-12 12:30:00,US,Inflation Rate MoM (Mar),USD,0.4,0.2,0.1,-0.3,High,-75.0,%
2023-04-12 12:30:00,US,Core Inflation Rate YoY (Mar),USD,5.5,5.6,5.6,0.1,High,1.818,%
2023-04-12 12:30:00,US,Inflation Rate YoY (Mar),USD,6.0,5.2,5.0,-1.0,High,-16.667,%
2023-04-12 18:00:00,US,FOMC Minutes,USD,,,,,High,0.0,
2023-04-13 12:30:00,US,Producer Price Index MoM (Mar),USD,0.0,0.0,-0.5,-0.5,High,0.0,%
2023-04-14 12:30:00,US,Retail Sales MoM (Mar),USD,-0.2,-0.4,-1.0,-0.8,High,-400.0,%
2023-04-25 08:00:00,US,CB Consumer Confidence (Apr),USD,104.0,104.0,101.3,-2.7,High,-2.596,
2023-04-26 12:30:00,US,Durable Goods Orders MoM (Mar),USD,-1.2,0.7,3.2,4.4,High,366.667,%
2023-04-28 12:30:00,US,Core PCE Price Index MoM (Mar),USD,0.3,0.3,0.3,0.0,High,0.0,%
2023-04-28 12:30:00,US,Personal Spending MoM (Mar),USD,0.1,-0.1,0.0,-0.1,High,-100.0,%
2023-04-28 12:30:00,US,Personal Income MoM (Mar),USD,0.3,0.2,0.3,0.0,High,0.0,%
2023-05-01 14:00:00,US,ISM Manufacturing PMI (Apr),USD,46.3,46.8,47.1,0.8,High,1.728,
2023-05-02 14:00:00,US,JOLTs Job Openings (Mar),USD,9.974,9.775,9.59,-0.384,High,-3.85,M
2023-05-03 07:00:00,US,ISM Non-Manufacturing Prices (Apr),USD,59.5,59.9,59.6,0.1,High,0.168,
2023-05-03 07:00:00,US,ISM Non-Manufacturing PMI (Apr),USD,51.2,51.8,51.9,0.7,High,1.367,
2023-05-03 11:00:00,US,FOMC Economic Projections,USD,,,,,High,0.0,
2023-05-03 11:30:00,US,Press Conference,USD,,,,,High,0.0,
2023-05-03 14:00:00,US,ISM Services PMI (Apr),USD,51.2,51.8,51.9,0.7,High,1.367,
2023-05-03 18:00:00,US,Fed Interest Rate Decision,USD,5.0,5.25,5.25,0.25,High,5.0,%
2023-05-03 18:30:00,US,Fed Press Conference,USD,,,,,High,0.0,
2023-05-04 12:30:00,US,Balance of Trade (Mar),USD,-70.6,-63.3,-64.2,6.4,High,9.065,B
2023-05-05 12:30:00,US,Non Farm Payrolls (Apr),USD,165.0,180.0,253.0,88.0,High,53.333,K
2023-05-05 12:30:00,US,Unemployment Rate (Apr),USD,3.5,3.6,3.4,-0.1,High,-2.857,%
2023-05-10 05:30:00,US,CPI YoY (Apr),USD,5.0,5.0,4.9,-0.1,High,-2.0,%
2023-05-10 05:30:00,US,Core CPI MoM (Apr),USD,0.4,0.4,0.4,0.0,High,0.0,%
2023-05-10 12:30:00,US,Inflation Rate MoM (Apr),USD,0.1,0.4,0.4,0.3,High,300.0,%
2023-05-10 12:30:00,US,Inflation Rate YoY (Apr),USD,5.0,5.0,4.9,-0.1,High,-2.0,%
2023-05-10 12:30:00,US,Core Inflation Rate YoY (Apr),USD,5.6,5.5,5.5,-0.1,High,-1.786,%
2023-05-11 12:30:00,US,Producer Price Index MoM (Apr),USD,-0.4,0.3,0.2,0.6,High,150.0,%
2023-05-12 14:00:00,US,Michigan Consumer Sentiment (May),USD,63.5,63.0,57.7,-5.8,High,-9.134,
2023-05-16 12:30:00,US,Retail Sales MoM (Apr),USD,-0.7,0.8,0.4,1.1,High,157.143,%
2023-05-19 15:00:00,US,Fed Chair Powell Speech,USD,,,,,High,0.0,
2023-05-24 18:00:00,US,FOMC Minutes,USD,,,,,High,0.0,
2023-05-26 12:30:00,US,Core PCE Price Index MoM (Apr),USD,0.3,0.3,0.4,0.1,High,33.333,%
2023-05-26 12:30:00,US,Durable Goods Orders MoM (Apr),USD,3.3,-1.0,1.1,-2.2,High,-66.667,%
2023-05-26 12:30:00,US,Personal Spending MoM (Apr),USD,0.1,0.4,0.8,0.7,High,700.0,%
2023-05-26 12:30:00,US,Personal Income MoM (Apr),USD,0.3,0.4,0.4,0.1,High,33.333,%
2023-05-30 07:00:00,US,CB Consumer Confidence (May),USD,103.7,99.0,102.3,-1.4,High,-1.35,
2023-05-31 14:00:00,US,JOLTs Job Openings (Apr),USD,9.745,9.375,10.103,0.358,High,3.674,M
2023-06-01 14:00:00,US,ISM Manufacturing PMI (May),USD,47.1,47.0,46.9,-0.2,High,-0.425,
2023-06-02 12:30:00,US,Non Farm Payrolls (May),USD,294.0,190.0,339.0,45.0,High,15.306,K
2023-06-02 12:30:00,US,Unemployment Rate (May),USD,3.4,3.5,3.7,0.3,High,8.824,%
2023-06-05 07:00:00,US,ISM Non-Manufacturing Prices (May),USD,59.6,57.8,56.2,-3.4,High,-5.705,
2023-06-05 07:00:00,US,ISM Non-Manufacturing PMI (May),USD,51.9,52.2,50.3,-1.6,High,-3.083,
2023-06-05 14:00:00,US,ISM Services PMI (May),USD,51.9,52.2,50.3,-1.6,High,-3.083,
2023-06-07 12:30:00,US,Balance of Trade (Apr),USD,-60.6,-75.2,-74.6,-14.0,High,-23.102,B
2023-06-13 05:30:00,US,CPI YoY (May),USD,4.9,4.1,4.0,-0.9,High,-18.367,%
2023-06-13 05:30:00,US,Core CPI MoM (May),USD,0.4,0.4,0.4,0.0,High,0.0,%
2023-06-13 12:30:00,US,Inflation Rate YoY (May),USD,4.9,4.1,4.0,-0.9,High,-18.367,%
2023-06-13 12:30:00,US,Core Inflation Rate YoY (May),USD,5.5,5.3,5.3,-0.2,High,-3.636,%
2023-06-13 12:30:00,US,Inflation Rate MoM (May),USD,0.4,0.2,0.1,-0.3,High,-75.0,%
2023-06-14 11:30:00,US,Press Conference,USD,,,,,High,0.0,
2023-06-14 12:30:00,US,Producer Price Index MoM (May),USD,0.2,-0.1,-0.3,-0.5,High,-250.0,%
2023-06-14 18:00:00,US,Fed Interest Rate Decision,USD,5.25,5.25,5.25,0.0,High,0.0,%
2023-06-14 18:30:00,US,Fed Press Conference,USD,,,,,High,0.0,
2023-06-15 12:30:00,US,Retail Sales MoM (May),USD,0.4,-0.1,0.3,-0.1,High,-25.0,%
2023-06-16 08:00:00,US,Monetary Policy Report,USD,,,,,High,0.0,
2023-06-22 14:00:00,US,Fed Chair Powell Testimony,USD,,,,,High,0.0,
2023-06-27 07:00:00,US,CB Consumer Confidence (Jun),USD,102.5,104.0,109.7,7.2,High,7.024,
2023-06-27 12:30:00,US,Durable Goods Orders MoM (May),USD,1.2,-1.0,1.7,0.5,High,41.667,%
2023-06-29 05:30:00,US,Gross Domestic Product QoQ (Q1),USD,2.6,1.4,2.0,-0.6,High,-23.077,%
2023-06-29 06:30:00,US,Fed Chair Powell Speech,USD,,,,,High,0.0,
2023-06-30 12:30:00,US,Personal Income MoM (May),USD,0.3,0.3,0.4,0.1,High,33.333,%
2023-06-30 12:30:00,US,Personal Spending MoM (May),USD,0.6,0.2,0.1,-0.5,High,-83.333,%
2023-06-30 12:30:00,US,Core PCE Price Index MoM (May),USD,0.4,0.3,0.3,-0.1,High,-25.0,%
2023-07-03 14:00:00,US,ISM Manufacturing PMI (Jun),USD,46.9,47.0,46.0,-0.9,High,-1.919,
2023-07-05 18:00:00,US,FOMC Minutes,USD,,,,,High,0.0,
2023-07-06 07:00:00,US,ISM Non-Manufacturing Prices (Jun),USD,56.2,53.3,54.1,-2.1,High,-3.737,
2023-07-06 07:00:00,US,ISM Non-Manufacturing PMI (Jun),USD,50.3,51.0,53.9,3.6,High,7.157,
2023-07-06 14:00:00,US,JOLTs Job Openings (May),USD,10.32,9.935,9.8,-0.52,High,-5.039,M
2023-07-06 14:00:00,US,ISM Services PMI (Jun),USD,50.3,51.0,53.9,3.6,High,7.157,
2023-07-07 12:30:00,US,Non Farm Payrolls (Jun),USD,306.0,225.0,209.0,-97.0,High,-31.699,K
2023-07-07 12:30:00,US,Unemployment Rate (Jun),USD,3.7,3.6,3.6,-0.1,High,-2.703,%
2023-07-12 05:30:00,US,CPI YoY (Jun),USD,4.0,3.1,3.0,-1.0,High,-25.0,%
2023-07-12 05:30:00,US,Core CPI MoM (Jun),USD,0.4,0.3,0.2,-0.2,High,-50.0,%
2023-07-12 12:30:00,US,Inflation Rate YoY (Jun),USD,4.0,3.1,3.0,-1.0,High,-25.0,%
2023-07-12 12:30:00,US,Core Inflation Rate YoY (Jun),USD,5.3,5.0,4.8,-0.5,High,-9.434,%
2023-07-12 12:30:00,US,Inflation Rate MoM (Jun),USD,0.1,0.3,0.2,0.1,High,100.0,%
2023-07-12 12:30:00,US,Core Inflation Rate MoM (Jun),USD,0.4,0.3,0.2,-0.2,High,-50.0,%
2023-07-13 12:30:00,US,Producer Price Index MoM (Jun),USD,-0.4,0.2,0.1,0.5,High,125.0,%
2023-07-18 12:30:00,US,Retail Sales MoM (Jun),USD,0.5,0.5,0.2,-0.3,High,-60.0,%
2023-07-25 07:00:00,US,CB Consumer Confidence (Jul),USD,110.1,111.8,117.0,6.9,High,6.267,
2023-07-26 11:00:00,US,FOMC Economic Projections,USD,,,,,High,0.0,
2023-07-26 11:30:00,US,Press Conference,USD,,,,,High,0.0,
2023-07-26 18:00:00,US,Fed Interest Rate Decision,USD,5.25,5.5,5.5,0.25,High,4.762,%
2023-07-26 18:30:00,US,Fed Press Conference,USD,,,,,High,0.0,
2023-07-27 12:30:00,US,Durable Goods Orders MoM (Jun),USD,2.0,1.0,4.7,2.7,High,135.0,%
2023-07-28 12:30:00,US,Core PCE Price Index MoM (Jun),USD,0.3,0.2,0.2,-0.1,High,-33.333,%
2023-07-28 12:30:00,US,Personal Spending MoM (Jun),USD,0.2,0.4,0.5,0.3,High,150.0,%
2023-07-28 12:30:00,US,Personal Income MoM (Jun),USD,0.5,0.5,0.3,-0.2,High,-40.0,%
2023-08-01 14:00:00,US,JOLTs Job Openings (Jun),USD,9.616,9.61,9.582,-0.034,High,-0.354,M
2023-08-01 14:00:00,US,ISM Manufacturing PMI (Jul),USD,46.0,46.8,46.4,0.4,High,0.87,
2023-08-03 07:00:00,US,ISM Non-Manufacturing PMI (Jul),USD,53.9,53.0,52.7,-1.2,High,-2.226,
2023-08-03 07:00:00,US,ISM Non-Manufacturing Prices (Jul),USD,54.1,52.1,56.8,2.7,High,4.991,
2023-08-03 14:00:00,US,ISM Services PMI (Jul),USD,53.9,53.0,52.7,-1.2,High,-2.226,
2023-08-04 12:30:00,US,Non Farm Payrolls (Jul),USD,185.0,200.0,187.0,2.0,High,1.081,K
2023-08-04 12:30:00,US,Unemployment Rate (Jul),USD,3.6,3.6,3.5,-0.1,High,-2.778,%
