symbol,date,open,high,low,close,volume
EURUSD,2026-07-15,1.1422,1.14837,1.14103,1.14662,120201
EURUSD,2026-07-14,1.13843,1.14628,1.13782,1.14209,247223
EURUSD,2026-07-13,1.14018,1.14458,1.13775,1.13804,237940
EURUSD,2026-07-12,1.14286,1.14286,1.13895,1.13976,24213
EURUSD,2026-07-10,1.14329,1.14608,1.14116,1.1415,203203
EURUSD,2026-07-09,1.14186,1.14494,1.14158,1.14302,194920
EURUSD,2026-07-08,1.14136,1.14316,1.13912,1.14162,233721
EURUSD,2026-07-07,1.1442,1.14481,1.1408,1.14114,98322
EURUSD,2026-07-06,1.14385,1.1445,1.14085,1.14408,87604
EURUSD,2026-07-05,1.14338,1.14456,1.14281,1.14307,17671
EURUSD,2026-07-03,1.1433,1.14622,1.14207,1.14376,83579
EURUSD,2026-07-02,1.1378,1.1473,1.1375,1.14337,156375
EURUSD,2026-07-01,1.14219,1.14233,1.13618,1.13782,126633
EURUSD,2026-06-30,1.14244,1.14367,1.13827,1.14218,114862
EURUSD,2026-06-29,1.13897,1.14306,1.13809,1.14242,102527
EURUSD,2026-06-28,1.13897,1.13936,1.13812,1.13921,18278
EURUSD,2026-06-26,1.13719,1.1434,1.13542,1.1385,125143
EURUSD,2026-06-25,1.13618,1.13882,1.13335,1.13702,123282
EURUSD,2026-06-24,1.13837,1.13845,1.13246,1.13586,128941
EURUSD,2026-06-23,1.14272,1.14391,1.13757,1.13818,110937
EURUSD,2026-06-22,1.14638,1.14737,1.1419,1.14284,121724
EURUSD,2026-06-21,1.14638,1.14737,1.14546,1.14564,22417
EURUSD,2026-06-19,1.1463,1.14807,1.1418,1.14712,97014
EURUSD,2026-06-18,1.15013,1.15283,1.14513,1.14579,149113
EURUSD,2026-06-17,1.16098,1.16168,1.14779,1.1502,158703
EURUSD,2026-06-16,1.15939,1.16198,1.15748,1.16085,92692
EURUSD,2026-06-15,1.15752,1.16221,1.15726,1.15894,205438
EURUSD,2026-06-14,1.15739,1.16172,1.15734,1.16027,25233
EURUSD,2026-06-12,1.15786,1.15897,1.15572,1.15669,235977
EURUSD,2026-06-11,1.15366,1.15899,1.1503,1.15792,254395
EURUSD,2026-06-10,1.15454,1.15731,1.15332,1.15357,231951
EURUSD,2026-06-09,1.1537,1.15781,1.1527,1.1544,214622
EURUSD,2026-06-08,1.15115,1.15548,1.14997,1.15324,219838
EURUSD,2026-06-07,1.15091,1.1523,1.15071,1.15216,29891
EURUSD,2026-06-05,1.16154,1.16445,1.1518,1.15226,196601
EURUSD,2026-06-04,1.15998,1.16455,1.15946,1.1611,167677
EURUSD,2026-06-03,1.16299,1.16336,1.15949,1.15986,187932
EURUSD,2026-06-02,1.163,1.16558,1.16135,1.1631,167462
EURUSD,2026-06-01,1.16543,1.16648,1.16068,1.16321,183907
EURUSD,2026-05-31,1.16543,1.16618,1.16417,1.16439,24426
EURUSD,2026-05-29,1.16522,1.16859,1.1625,1.16621,187500
EURUSD,2026-05-28,1.1628,1.16614,1.15864,1.16497,197655
EURUSD,2026-05-27,1.16286,1.16615,1.16222,1.16258,194314
EURUSD,2026-05-26,1.16404,1.16452,1.16164,1.16317,88771
EURUSD,2026-05-25,1.16394,1.16528,1.16296,1.16433,67650
EURUSD,2026-05-24,1.16394,1.1649,1.16306,1.16372,20087
EURUSD,2026-05-22,1.16194,1.16232,1.15883,1.16023,107300
EURUSD,2026-05-21,1.16242,1.16357,1.15763,1.16175,174262
EURUSD,2026-05-20,1.16055,1.16452,1.15828,1.16255,150665
EURUSD,2026-05-19,1.16558,1.16618,1.15922,1.16066,132594
EURUSD,2026-05-18,1.16196,1.16611,1.16082,1.16563,152255
EURUSD,2026-05-17,1.16196,1.16252,1.16082,1.16223,27330
EURUSD,2026-05-15,1.16702,1.1674,1.1617,1.16252,140126
EURUSD,2026-05-14,1.17102,1.17216,1.16657,1.16698,108996
EURUSD,2026-05-13,1.17366,1.17418,1.16954,1.17136,99109
EURUSD,2026-05-12,1.17814,1.17878,1.17218,1.17403,123918
EURUSD,2026-05-11,1.17524,1.17878,1.17483,1.17824,98493
EURUSD,2026-05-10,1.17524,1.17721,1.17483,1.17575,19903
EURUSD,2026-05-08,1.17282,1.17881,1.17232,1.17852,125163
EURUSD,2026-05-07,1.17463,1.17784,1.17224,1.17237,157792
EURUSD,2026-05-06,1.16924,1.17967,1.16917,1.17484,180872
EURUSD,2026-05-05,1.16912,1.17136,1.16766,1.1693,113250
EURUSD,2026-05-04,1.17478,1.17502,1.1681,1.16918,170540
EURUSD,2026-05-03,1.17478,1.17502,1.17202,1.173,25977
EURUSD,2026-05-01,1.17306,1.17852,1.17156,1.17212,141620
EURUSD,2026-04-30,1.16789,1.17418,1.16551,1.17308,218545
EURUSD,2026-04-29,1.1713,1.17208,1.16612,1.16757,144536
EURUSD,2026-04-28,1.17218,1.1727,1.16775,1.17127,126150
EURUSD,2026-04-27,1.16999,1.1755,1.16994,1.17208,98007
EURUSD,2026-04-26,1.17059,1.17564,1.17059,1.17064,20016
EURUSD,2026-04-24,1.16836,1.17236,1.16729,1.17186,130155
EURUSD,2026-04-23,1.17058,1.17166,1.16692,1.16827,168095
EURUSD,2026-04-22,1.17476,1.17627,1.17032,1.17067,117502
EURUSD,2026-04-21,1.17876,1.17911,1.17188,1.17438,162930
EURUSD,2026-04-20,1.17408,1.17904,1.17286,1.17872,140703
EURUSD,2026-04-19,1.17392,1.17911,1.17392,1.17412,27456
EURUSD,2026-04-17,1.17793,1.18492,1.17606,1.17638,155957
EURUSD,2026-04-16,1.18002,1.18239,1.17669,1.17826,117693
EURUSD,2026-04-15,1.17966,1.1808,1.1772,1.17994,127445
EURUSD,2026-04-14,1.17576,1.18112,1.17554,1.1796,121436
EURUSD,2026-04-13,1.16666,1.1766,1.1664,1.17588,140983
EURUSD,2026-04-12,1.16722,1.17195,1.16715,1.16752,30706
EURUSD,2026-04-10,1.17021,1.17396,1.16774,1.1725,126582
EURUSD,2026-04-09,1.16615,1.17234,1.16504,1.1699,139044
