t_exit,ret_pct
2023-01-31,-0.568671401309695
2023-02-28,-1.5967483745217503
2023-03-31,0.0018404750770084632
2023-04-30,0.4585809234278093
2023-05-31,-5.271062066401488
2023-06-30,-0.5655972089268824
2023-07-31,-0.7582997800730129
2023-08-31,-3.5035903012683445
2023-09-30,1.6726384115179238
2023-10-31,0.13435485662161017
2023-11-30,-2.2962496285563128
2023-12-31,-0.059314336678206736
2024-01-31,-1.3996455532484409
2024-02-29,-0.9639252723858016
2024-03-31,-1.8181680571532133
2024-04-30,-0.2970959410441565
2024-05-31,0.5830835609797136
2024-06-30,-1.1732626164005722
2024-07-31,-0.9766663843597367
2024-08-31,-1.2271397989089716
2024-09-30,0.9303455252208659
2024-10-31,-3.6124518986096588
2024-11-30,-0.34700624376803324
2024-12-31,-1.2308349503073912
2025-01-31,-1.623365413389244
2025-02-28,0.6276873284499995
2025-03-31,0.6614366425063967
2025-04-30,-5.063170680964557
2025-05-31,-2.5974570620813098
2025-06-30,-1.3838386276922243
2025-07-31,-0.23969363514916298
2025-08-31,-0.157345274893661
2025-09-30,1.1126419421929157
2025-10-31,-1.8875091425225476
2025-11-30,0.3047180079243539
2025-12-31,-0.3646459497185339
2026-01-31,0.9966663665964992
2026-02-28,2.317383349860336
2026-03-31,-1.706057338930711
2026-04-30,-0.3532283304922834
2026-05-31,0.44855072053360256
2026-06-30,0.2324038252891958
2026-07-31,-1.170245576020379
