day,r
2025-01-31,3.1259450117408605
2025-02-28,0.8713643290996664
2025-03-31,0.44612560613430663
2025-04-30,0.017230658491640405
2025-05-31,0.30501596481606885
2025-06-30,1.0528238215163688
2025-07-31,-0.3512837695438642
2025-08-31,-2.33722681085875
2025-09-30,2.8058235801675435
2025-10-31,0.3659637135456917
2025-11-30,0.35437555109512076
2025-12-31,-0.4398442732680419
2026-01-31,2.8555005132584244
2026-02-28,0.1025736327931348
2026-03-31,2.015894807074048
2026-04-30,1.9336986690072555
2026-05-31,0.32506367702060945
2026-06-30,2.3047801074959295
2026-07-31,-0.6550620065801205
