day,r
2023-01-31,-1.2776938065809484
2023-02-28,1.3241441269547183
2023-03-31,0.8931656420959833
2023-04-30,-0.4538605419853958
2023-05-31,-0.393679121509527
2023-06-30,-0.7634354703135116
2023-07-31,-0.7186121642558385
2023-08-31,0.3241047928833174
2023-09-30,1.4448844466634414
2023-10-31,0.6755475225497243
2023-11-30,1.6746204175851043
2023-12-31,-1.2620605359346948
2024-01-31,-1.0163091694201487
2024-02-29,-0.873743402512106
2024-03-31,-1.396875983025514
2024-04-30,-0.03588906075879805
2024-05-31,0.06982440240872467
2024-06-30,0.9437052469936535
2024-07-31,-2.607246989334888
2024-08-31,1.0413964396760012
2024-09-30,-0.6935089990472987
2024-10-31,0.45207204859905037
2024-11-30,1.6339665093456412
2024-12-31,0.7064359265928744
2025-01-31,3.1259450117408605
2025-02-28,0.8713643290996664
2025-03-31,0.44612560613430663
2025-04-30,0.017230658491640405
2025-05-31,0.30501596481606885
2025-06-30,1.0528238215163688
2025-07-31,-0.3512837695438642
2025-08-31,-2.33722681085875
2025-09-30,2.8058235801675435
2025-10-31,0.3659637135456917
2025-11-30,0.35437555109512076
2025-12-31,-0.4398442732680419
2026-01-31,2.8555005132584244
2026-02-28,0.1025736327931348
2026-03-31,2.015894807074048
2026-04-30,1.9336986690072555
2026-05-31,0.32506367702060945
2026-06-30,2.3047801074959295
2026-07-31,-0.6550620065801205
